id,title,current_period_id,proposed_period_id,status,note
San-giroamo-nello-studio,San Gerolamo nello studio,quattrocento,,incerto,"Antonello da Messina, 'San Gerolamo nello studio' (Londra, National Gallery, 1475): la critica è divisa fra un'esecuzione nel periodo siciliano dell'artista e il soggiorno veneziano (1475-76); si segnala l'incertezza fra il nuovo gruppo 'Antonello da Messina in Sicilia' e la scuola 'Quattrocento veneziano'."
abbazia-di-westminster,Chiesa abbaziale di Westminster,decorated-english-gothic,,incerto,"Westminster Abbey (dal 1245) è opera di transizione: per datazione ricadrebbe in early-english-gothic (1174-1280), ma introduce il tracciato a barre di origine francese che la storiografia associa già al decorated-english-gothic; collocazione non univoca."
affreschi-san-pietro-valle-ferentillo,Affreschi dell'abbazia di San Pietro in Valle a Ferentillo,romanico-italiano,,incerto,Datazione (VIII-IX secolo) a cavallo tra il ducato longobardo di Spoleto e l'eta' carolingia; l'attuale collocazione 'romanico-italiano' e' cronologicamente errata (Romanico inizia nel 950). Ambiguo tra le due correnti dell'Alto Medioevo.
basilica-sant-andrea-vercelli,Basilica di Sant'Andrea a Vercelli,gotico-italiano,,incerto,"Basilica di Vercelli (1219-1227) fortemente influenzata dal gotico cistercense-borgognone per volere del cardinale Guala Bicchieri, ma non e' un edificio dell'ordine cistercense; ambiguo tra la corrente generica Gotico italiano e Gotico cistercense."
cappella-niccolina,Storie di santo Stefano e san Lorenzo (Cappella Niccolina),quattrocento,,incerto,"Beato Angelico ha eseguito il ciclo in loco in Vaticano per il papa: ambiguo se classificarlo per bottega di provenienza (umanesimo-fiorentino) o lasciarlo nel contenitore generico, poiche non esiste una scuola romana del Quattrocento nell'albero."
monumento-funebre-ilaria-del-carretto-jacopo,Monumento funebre di Ilaria del Carretto,tardogotico,,incerto,"Jacopo della Quercia a Lucca (1406-1407): opera di transizione discussa in storiografia sia come tardogotico sia come primo rinascimento (sarcofago classicheggiante), collocazione non univoca fra le due correnti."
pala-di-san-zeno-polittico-di-san-zeno,Pala di San Zeno (Polittico di San Zeno),,rinascimento-veneto,incerto,"Mantegna, pala per la basilica di San Zeno a Verona (1456-1459), eseguita prima del trasferimento a Mantova (1460): la scuola più aderente per città/data sarebbe 'rinascimento-veronese' (1450-1500, Verona), ma tale scuola non è confermata come nodo distinto stabile nell'albero rispetto a 'rinascimento-veneto' (1450-1530, generico Veneto); si segnala l'incertezza fra le due opzioni."
palazzo-detto-di-teodorico-ravenna,Esterno del palazzo detto di Teodorico,regno-ostrogoto,,incerto,"Struttura ricostruita nel VII-VIII sec., quindi cronologicamente incompatibile con Regno ostrogoto (493-553, gia concluso); l'attribuzione oscilla tra l'Esarcato bizantino di Ravenna (fino al 751) e la successiva dominazione longobarda (751-756), entrambe ugualmente plausibili con i soli dati disponibili."
pianta-abbazia-westminster,Pianta del complesso della chiesa abbaziale di Westminster,decorated-english-gothic,,incerto,Stessa ambiguità di abbazia-di-westminster: opera di transizione fra early-english-gothic e decorated-english-gothic.
ritratto-di-luca-pacioli,Ritratto di Luca Pacioli e giovane ignoto (forse Guidobaldo da Montefeltro),quattrocento,,incerto,"Attribuito a Jacopo de' Barbari (1495 circa); luogo di esecuzione e identità del secondo personaggio (forse Guidobaldo da Montefeltro, duca di Urbino) restano dibattuti in letteratura. Potrebbe collocarsi presso la corte di Urbino (scuola proposta 'corte-montefeltresca-urbino' nel batch_08, sebbene con estensione della datazione oltre il 1482) oppure restare a livello di corrente generica."
ritratto-virile,Ritratto virile,quattrocento,,incerto,"Antonello da Messina, ritratto virile (Londra, National Gallery), databile al 1475 circa (il year_start della scheda diverge dal date_text '1465'): la critica è divisa fra un'esecuzione siciliana e una veneziana (soggiorno a Venezia 1475-76); si segnala l'incertezza fra il nuovo gruppo 'Antonello da Messina in Sicilia' (proposto in questo lotto) e la scuola 'Quattrocento veneziano'."
