suggested_id,name,parent_id,parent_name,year_start,year_end,region,n_opere,lotti,opere_esempio
rinascimento-romano-giulio-leone,Rinascimento romano di Giulio II e Leone X (cantiere vaticano),rinascimento-maturo,Rinascimento maturo,1505,1520,"['Roma', 'Città del Vaticano']",43,"10,14",Medaglia commemorativa della posa della prima pietra della basilica di San Pietro; Disputa del Santissimo Sacramento (Esaltazione dell'ostia consacrata); Madonna col Bambino tra i santi di Antiochia e Onofrio
bottega-giotto,Bottega di Giotto di Bondone,gotico-italiano,Gotico italiano (temperato),1290,1337,"Assisi, Firenze, Padova, Napoli, Roma",24,5,"Apparizione al Capitolo di Arles (Storie di san Francesco, Assisi); Crocifisso di Santa Maria Novella; Innocenzo III conferma la regola"
quattrocento-romano,Quattrocento romano (cantiere pontificio),quattrocento,Quattrocento,1455,1482,"['Roma', ""Citta' del Vaticano""]",19,"8,9,13",Palazzo Venezia; Interno della cappella Sistina; Battesimo di Cristo (cappella Sistina)
bottega-nicola-pisano,Bottega di Nicola Pisano e Giovanni Pisano,gotico-italiano,Gotico italiano (temperato),1255,1278,"Pisa, Siena, Perugia (Toscana, Umbria)",15,"4,5",Pulpito del battistero di San Giovanni; Adorazione dei Magi (particolare della decorazione scultorea del pulpito); Natività (particolare della decorazione scultorea del pulpito)
cantieri-medicei-firenze-tardo-500,"Cantieri medicei fiorentini del tardo Cinquecento (Ammannati, Vasari, Buontalenti, Giambologna)",manierismo,Manierismo,1550,1593,"['Firenze', 'Toscana', 'Pratolino']",15,12,"Giardino di Boboli; Vite de' piu eccellenti architetti, pittori et scultori italiani (Le Vite); Salone dei Cinquecento (decorazione)"
cossa-de-roberti-bologna,Francesco del Cossa ed Ercole de' Roberti a Bologna (Polittico Griffoni e Pala Portuense),quattrocento,Quattrocento,1472,1481,"['Bologna', 'Emilia-Romagna']",14,14,Miracoli di san Vincenzo Ferrer (Predella Polittico Griffoni); Pala Portonese (Madonna col Bambino e santi); Politico Griffoni
scuola-di-parma,Scuola di Parma (Correggio e Parmigianino),manierismo,Manierismo,1519,1540,"Parma e Fontanellato, Emilia",13,11,Volta della camera della badessa; Diana (camera della badessa); Visione di san Giovanni Evangelista a Patmos
corte-montefeltresca-urbino,Corte di Federico da Montefeltro a Urbino,quattrocento,Quattrocento,1459,1482,"['Urbino', 'Marche']",10,8,Flagellazione di Cristo; Palazzo Ducale di Urbino; Madonna con il Bambino benedicente e due angeli (Madonna di Senigallia)
bottega-cimabue,Bottega di Cimabue,duecento-italiano,Duecento italiano,1260,1290,"Firenze, Arezzo, Assisi (Toscana, Umbria)",9,"4,5",Crocifisso di San Domenico ad Arezzo; Crocifisso di Santa Croce; Maestà del Louvre
scuola-bresciana,"Scuola bresciana (Romanino, Moretto, Savoldo)",manierismo,Manierismo,1521,1550,"Brescia, Lombardia (con attivita' a Trento e in Val Camonica)",9,"11,12",La messa di san Gregorio; San Matteo e l'angelo; Affreschi della Loggia del castello del Buonconsiglio
scuola-di-wiligelmo,Scuola di Wiligelmo (Duomo di Modena),romanico-italiano,Romanico italiano,1099,1184,"Modena, Emilia-Romagna",8,3,Decorazione scultorea della cattedrale di San Geminiano (Portale centrale e lastre); Enoch ed Elia con l'epigrafe commemorativa della fondazione; Facciata della cattedrale di San Geminiano
bottega-antelami-parma,Bottega di Benedetto Antelami (Parma),gotico-italiano,Gotico italiano (temperato),1178,1230,"Parma, Emilia",8,"3,4",Deposizione di Cristo dalla croce; Tre Marie (particolare della Deposizione di Cristo dalla croce); Battistero di San Giovanni Battista di Parma
andrea-palladio-veneto,Andrea Palladio e l'architettura veneta del secondo Cinquecento,manierismo,Manierismo,1550,1620,"['Vicenza', 'Venezia', 'Veneto']",8,12,Villa Barbaro a Maser; Villa Foscari detta La Malcontenta; Villa Emo
scuola-marciana-veneziana,"Scuola marciana (decorazione della Basilica di San Marco, Venezia)",arte-bizantina,Arte bizantina,1172,1350,Venezia,7,"3,4",Cupola dell'Ascensione (Basilica di San Marco); Ciclo musivo della basilica di San Marco; Orazione nell'orto del Getsemani (cupola San Marco)
longobardi-cividale-friuli,Longobardi a Cividale del Friuli (eta di Ratchis),eta-longobarda,Età longobarda,734,756,"['Cividale del Friuli', 'Friuli']",6,1,Adorazione dei Magi (lato dell'Altare di Ratchis); Altare di Ratchis; Maiestas Domini (paliotto dell'Altare di Ratchis)
pittura-carolingia-retica,Pittura carolingia retica (Mustair e Malles),eta-carolingia,Età carolingia,800,850,"Val Venosta, Grigioni (Rezia)",6,2,Affreschi di San Benedetto a Malles; Pitture murali di San Giovanni a Müstair; Fuga in Egitto (particolare della decorazione della navata)
romanico-pugliese,Romanico pugliese (Bari-Trani),romanico-italiano,Romanico italiano,1105,1178,"Bari, Trani (Puglia)",6,3,Cattedra di Elia; Cristo Sol Invictus (chiave dell'archivolto del protiro); Protiro e portale maggiore della basilica di San Nicola
bottega-arnolfo-di-cambio,Bottega di Arnolfo di Cambio,duecento-italiano,Duecento italiano,1277,1282,"Perugia, Roma, Orvieto (Umbria, Lazio)",6,"4,5",Fontana Minore di Perugia (Donna assetata); Carlo I d'Angiò; Monumento funebre del cardinale Guillaume de Braye
